alpha,w,v,tau,cv_bs_loo,cv_loss,corr,phi
3.4000000000000057,0.13123669386870435,0.26908639427488645,0.5353253119767385,0.2707976966699585,0.6612273717600219,0.5610960122398799,0.06447954621880969
3.350000000000006,0.13276916449549936,0.27222850853317015,0.5416544211857137,0.27120361763989287,0.6613276364787868,0.5610960122398799,0.06523227105617092
3.300000000000006,0.13433841109594927,0.2754460265277588,0.5481390702415672,0.2716213971575283,0.6614403619976658,0.5610960122398799,0.06600304977656414
3.250000000000006,0.13594580009514934,0.27874175007363605,0.5547852536078985,0.27205149101886966,0.6615663224917921,0.5610960122398799,0.06679255260332216
3.2000000000000064,0.1375927680220828,0.2821186247597443,0.5615992886024995,0.272494376725766,0.6617063442696178,0.5610960122398799,0.0676014841050899
3.1500000000000066,0.13928082628030541,0.28557975808094016,0.5685878382327428,0.27295055582949573,0.6618613124366357,0.5610960122398799,0.0684305854044435
3.1000000000000068,0.1410115657765118,0.2891283957863786,0.5757579356644739,0.2734205508916126,0.6620321650360335,0.5610960122398799,0.06928063693975003
3.050000000000007,0.1427866630243047,0.2927679837986286,0.5831170116559716,0.27390491340237694,0.6622199131925851,0.5610960122398799,0.07015246070872645
3.000000000000007,0.14460788567322064,0.2965021468442064,0.5906729237250443,0.27440422099986783,0.6624256363029825,0.5610960122398799,0.07104692346362004
2.9500000000000073,0.1464770990729855,0.3003347100521826,0.5984339884167018,0.2749190801627527,0.6626504903405538,0.5610960122398799,0.07196493979882537
2.9000000000000075,0.1483962733062173,0.30426971338862524,0.6064090165467386,0.275450127953017,0.6628957142138169,0.5610960122398799,0.07290747558912036
2.8500000000000076,0.15036749096596932,0.3083114360254863,0.6146073519376444,0.2759980350253545,0.6631626395386269,0.5610960122398799,0.07387555166576261
2.800000000000008,0.15239295507872602,0.31246437923957804,0.6230389134814374,0.27656350311444855,0.6634526872548234,0.5610960122398799,0.0748702481880327
2.750000000000008,0.15447499891128247,0.31673333622929506,0.6317142423730913,0.2771472739161818,0.6637673924852565,0.5610960122398799,0.07589270869215559
2.700000000000008,0.1566160955496324,0.32112337889738723,0.640644553196283,0.2777501269645445,0.6641084030076525,0.5610960122398799,0.0769441452635608
2.6500000000000083,0.15881886898992764,0.3256398887901597,0.6498417908130382,0.27837288323566217,0.664477492212951,0.5610960122398799,0.07802584383273437
2.6000000000000085,0.16108610632007425,0.3302885904675704,0.6593186933098423,0.27901640900294544,0.6648765734046631,0.5610960122398799,0.07913917000055241
2.5500000000000087,0.1634207705340262,0.33507554469346834,0.6690888611909009,0.279681614167339,0.6653077007627799,0.5610960122398799,0.08028557578967926
2.500000000000009,0.16582601585352624,0.34000722921060167,0.6791668353870282,0.28036946222312475,0.6657731005411379,0.5610960122398799,0.08146660639057195
2.450000000000009,0.16830520344104727,0.3450905384177798,0.6895681829160325,0.28108096916831393,0.6662751752117984,0.5610960122398799,0.08268390831780575
2.4000000000000092,0.17086191940139644,0.3503328284545586,0.7003095930294803,0.2818172083226706,0.6668165235520213,0.5610960122398799,0.08393923807520283
2.3500000000000094,0.17349999474503897,0.35574196667109237,0.7114089847410672,0.2825793155387193,0.6673999630655955,0.5610960122398799,0.08523447177193526
